timestamp,ip_address,username,status,event_type
2026-09-05 14:50:18,192.168.1.14,erin,SUCCESS,LOGIN
2026-09-05 14:53:57,192.168.1.14,bob,SUCCESS,LOGIN
2026-09-05 15:00:51,192.168.1.12,carol,SUCCESS,LOGOUT
2026-09-05 15:00:58,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:03,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:04,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:14,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:16,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:25,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:26,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:28,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:34,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:37,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:40,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:46,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:53,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:54,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:01:58,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:02:02,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:02:08,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:02:23,185.220.101.7,alice,FAILED,LOGIN
2026-09-05 15:03:53,192.168.1.10,erin,SUCCESS,LOGIN
2026-09-05 15:06:59,192.168.1.10,carol,SUCCESS,LOGIN
2026-09-05 15:11:56,192.168.1.14,erin,SUCCESS,LOGOUT
2026-09-05 15:14:16,192.168.1.10,dave,SUCCESS,LOGIN
2026-09-05 15:19:02,192.168.1.11,alice,SUCCESS,LOGIN
2026-09-05 15:22:20,192.168.1.14,erin,SUCCESS,LOGIN
2026-09-05 15:23:13,192.168.1.10,dave,SUCCESS,LOGOUT
2026-09-05 15:31:28,192.168.1.14,erin,SUCCESS,LOGIN
2026-09-05 15:34:59,192.168.1.10,bob,SUCCESS,LOGOUT
2026-09-05 15:35:45,192.168.1.13,carol,SUCCESS,LOGOUT
2026-09-05 15:44:38,192.168.1.14,erin,SUCCESS,LOGOUT
2026-09-05 15:44:47,192.168.1.12,erin,SUCCESS,LOGIN
2026-09-05 15:47:51,192.168.1.12,erin,SUCCESS,SUDO
2026-09-05 15:55:18,192.168.1.14,dave,SUCCESS,LOGIN
2026-09-05 16:02:19,192.168.1.14,dave,SUCCESS,LOGOUT
2026-09-05 16:02:33,192.168.1.14,bob,SUCCESS,LOGOUT
2026-09-05 16:03:28,192.168.1.12,dave,SUCCESS,LOGIN
2026-09-05 16:03:58,192.168.1.13,alice,SUCCESS,SUDO
2026-09-05 16:04:09,192.168.1.14,dave,SUCCESS,LOGIN
2026-09-05 16:06:46,192.168.1.12,erin,SUCCESS,LOGIN
2026-09-05 16:10:42,192.168.1.14,dave,SUCCESS,LOGOUT
2026-09-05 16:13:02,192.168.1.14,alice,SUCCESS,LOGOUT
2026-09-05 16:13:59,192.168.1.11,dave,SUCCESS,FILE_ACCESS
2026-09-05 16:17:26,192.168.1.12,erin,SUCCESS,LOGIN
2026-09-05 16:19:05,192.168.1.11,alice,SUCCESS,LOGOUT
2026-09-05 16:19:25,192.168.1.12,bob,SUCCESS,LOGOUT
2026-09-05 16:22:21,192.168.1.10,alice,SUCCESS,LOGIN
2026-09-05 16:30:23,192.168.1.14,bob,SUCCESS,LOGIN
2026-09-05 16:31:58,192.168.1.10,bob,SUCCESS,SUDO
2026-09-05 16:33:53,192.168.1.13,dave,SUCCESS,LOGIN
2026-09-05 16:33:56,192.168.1.11,carol,SUCCESS,LOGIN
2026-09-05 16:38:05,192.168.1.13,alice,SUCCESS,LOGIN
2026-09-05 16:47:15,192.168.1.13,bob,SUCCESS,LOGIN
2026-09-05 16:51:17,192.168.1.14,bob,SUCCESS,LOGOUT
2026-09-05 16:52:39,192.168.1.14,alice,SUCCESS,FILE_ACCESS
2026-09-05 16:53:27,192.168.1.14,erin,SUCCESS,LOGIN
2026-09-05 16:55:08,192.168.1.11,erin,SUCCESS,SUDO
2026-09-05 16:55:33,192.168.1.10,erin,SUCCESS,LOGOUT
2026-09-05 16:59:10,192.168.1.10,erin,SUCCESS,LOGIN
2026-09-05 17:05:46,192.168.1.11,bob,SUCCESS,LOGIN
2026-09-05 17:05:55,192.168.1.11,alice,SUCCESS,LOGIN
2026-09-05 17:07:37,192.168.1.11,alice,SUCCESS,LOGIN
2026-09-05 17:14:43,192.168.1.11,carol,SUCCESS,LOGIN
2026-09-05 17:16:05,192.168.1.12,erin,SUCCESS,LOGIN
2026-09-05 17:16:40,192.168.1.12,dave,SUCCESS,FILE_ACCESS
2026-09-05 17:28:35,192.168.1.13,alice,SUCCESS,LOGIN
2026-09-05 17:34:00,192.168.1.10,dave,SUCCESS,LOGIN
2026-09-05 17:40:07,103.45.67.89,user,FAILED,LOGIN
2026-09-05 17:40:17,103.45.67.89,user,FAILED,LOGIN
2026-09-05 17:40:23,103.45.67.89,root,FAILED,LOGIN
2026-09-05 17:40:25,103.45.67.89,user,FAILED,LOGIN
2026-09-05 17:40:27,103.45.67.89,postgres,FAILED,LOGIN
2026-09-05 17:40:31,103.45.67.89,postgres,FAILED,LOGIN
2026-09-05 17:40:49,103.45.67.89,administrator,FAILED,LOGIN
2026-09-05 17:41:10,103.45.67.89,admin,FAILED,LOGIN
2026-09-05 17:41:19,103.45.67.89,guest,FAILED,LOGIN
2026-09-05 17:41:19,103.45.67.89,guest,FAILED,LOGIN
